DLS 	Dead store to $L9 in org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners.SkewedPartitioner.getPartition(PigNullableWritable, Writable, int)
DLS 	Dead store to sleepTime in org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigCombiner$Combine.configure(JobConf)
DLS 	Dead store to sleepTime in org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduce$Reduce.configure(JobConf)
DLS 	Dead store to ret in org.apache.pig.backend.hadoop.executionengine.physicalLayer.PhysicalOperator.getNext(DataBag)
DLS 	Dead store to count in org.apache.pig.impl.logicalLayer.LOForEach.updateAliasCount(Map, String)
DLS 	Dead store to newArgs in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.insertCastsForUDF(LOUserFunc, Schema, Schema)
DLS 	Dead store to fs in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOAnd)
DLS 	Dead store to fsList in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOCross)
DLS 	Dead store to fs in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOOr)
DLS 	Dead store to foreachPlan in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.insertCastForEachInBetweenIfNecessary(LogicalOperator, LogicalOperator, Schema)
DLS 	Dead store to inputs in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOCross)
DLS 	Dead store to list in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LODistinct)
DLS 	Dead store to input in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOFilter)
DLS 	Dead store to flattens in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOForEach)
DLS 	Dead store to input in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOSplit)
DLS 	Dead store to input in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOSplitOutput)
DLS 	Dead store to $L3 in org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor.visit(LOUnion)
DLS 	Dead store to pigClassLoader in org.apache.pig.impl.util.JarManager.createJar(OutputStream, List, PigContext)
DLS 	Dead store to buffer in org.apache.pig.Main.getVersionString()
DLS 	Dead store to converter in org.apache.pig.tools.streams.StreamGenerator.createAndShowGUI()
DLS 	Dead store to c in org.apache.tools.bzip2r.CBZip2OutputStream.med3(char, char, char)
